"empire","empire_start","empire_end","god","king","coin","trade","country_name","country_iso","geo","begin","end","capital"
"Achaemenid Empire","-550","-330","1","1","1",NULL,"Afghanistan","AFG","Asia","-530","-331","0"
"Achaemenid Empire","-550","-330","1","1","1",NULL,"United Arab Emirates","ARE","Asia","-530","-331","0"
"Achaemenid Empire","-550","-330","1","1","1",NULL,"Armenia","ARM","Asia","-550","-331","0"
"Achaemenid Empire","-550","-330","1","1","1",NULL,"Azerbaijan","AZE","Asia","-550","-331","0"
"Achaemenid Empire","-550","-330","1","1","1",NULL,"Bulgaria","BGR","Europe","-512","-479","0"
"Achaemenid Empire","-550","-330","1","1","1",NULL,"Egypt","EGY","Africa","-525","-404","0"
"Achaemenid Empire","-550","-330","1","1","1",NULL,"Georgia","GEO","Asia","-550","-331","0"
"Achaemenid Empire","-550","-330","1","1","1",NULL,"Greece","GRC","Europe","-512","-479","0"
"Achaemenid Empire","-550","-330","1","1","1",NULL,"Iran","IRN","Asia","-550","-331","1"
"Achaemenid Empire","-550","-330","1","1","1",NULL,"Iraq","IRQ","Asia","-539","-331","0"
"Achaemenid Empire","-550","-330","1","1","1",NULL,"Israel","ISR","Asia","-539","-332","0"
"Achaemenid Empire","-550","-330","1","1","1",NULL,"Jordan","JOR","Asia","-539","-331","0"
"Achaemenid Empire","-550","-330","1","1","1",NULL,"Kazakhstan","KAZ","Asia","-530","-331","0"
"Achaemenid Empire","-550","-330","1","1","1",NULL,"Kuwait","KWT","Asia","-530","-331","0"
"Achaemenid Empire","-550","-330","1","1","1",NULL,"Lebanon","LBN","Asia","-539","-331","0"
"Achaemenid Empire","-550","-330","1","1","1",NULL,"Libya","LBY","Africa","-525","-331","0"
"Achaemenid Empire","-550","-330","1","1","1",NULL,"Moldova","MDA","Europe","-513","-331","0"
"Achaemenid Empire","-550","-330","1","1","1",NULL,"Oman","OMN","Asia","-530","-330","0"
"Achaemenid Empire","-550","-330","1","1","1",NULL,"Pakistan","PAK","Asia","-539","-331","0"
"Achaemenid Empire","-550","-330","1","1","1",NULL,"Palestine","PSE","Asia","-530","-331","0"
"Achaemenid Empire","-550","-330","1","1","1",NULL,"Romania","ROU","Europe","-410","-331","0"
"Achaemenid Empire","-550","-330","1","1","1",NULL,"Russia","RUS","Europe","-513","-331","0"
"Achaemenid Empire","-550","-330","1","1","1",NULL,"Syria","SYR","Asia","-539","-331","0"
"Achaemenid Empire","-550","-330","1","1","1",NULL,"Tajikistan","TJK","Asia","-530","-331","0"
"Achaemenid Empire","-550","-330","1","1","1",NULL,"Turkmenistan","TKM","Asia","-530","-331","0"
"Achaemenid Empire","-550","-330","1","1","1",NULL,"Turkey","TUR","Asia","-550","-331","0"
"Achaemenid Empire","-550","-330","1","1","1",NULL,"Ukraine","UKR","Europe","-513","-331","0"
"Achaemenid Empire","-550","-330","1","1","1",NULL,"Uzbekistan","UZB","Asia","-530","-331","0"
"Achaemenid Empire","-550","-330","1","1","1",NULL,"India","IND","Asia","-518","-330","0"
"Achaemenid Empire","-550","-330","1","1","1",NULL,"Cyprus","CYP","Asia","-545","-333","0"
"Achaemenid Empire","-550","-330","1","1","1",NULL,"North Macedonia","MKD","Europe","-512","-330","0"
"Afsharid Dynasty","1736","1796","0","1","0",NULL,"Afghanistan","AFG","Asia","1736","1796","0"
"Afsharid Dynasty","1736","1796","0","1","0",NULL,"United Arab Emirates","ARE","Asia","1736","1796","0"
"Afsharid Dynasty","1736","1796","0","1","0",NULL,"Armenia","ARM","Asia","1736","1796","0"
"Afsharid Dynasty","1736","1796","0","1","0",NULL,"Azerbaijan","AZE","Asia","1741","1796","0"
"Afsharid Dynasty","1736","1796","0","1","0",NULL,"Georgia","GEO","Asia","1742","1796","0"
"Afsharid Dynasty","1736","1796","0","1","0",NULL,"Iran","IRN","Asia","1736","1796","1"
"Afsharid Dynasty","1736","1796","0","1","0",NULL,"Iraq","IRQ","Asia","1736","1796","0"
"Afsharid Dynasty","1736","1796","0","1","0",NULL,"Kazakhstan","KAZ","Asia","1740","1796","0"
"Afsharid Dynasty","1736","1796","0","1","0",NULL,"Kuwait","KWT","Asia","1736","1796","0"
"Afsharid Dynasty","1736","1796","0","1","0",NULL,"Oman","OMN","Asia","1742","1796","0"
"Afsharid Dynasty","1736","1796","0","1","0",NULL,"Pakistan","PAK","Asia","1736","1796","0"
"Afsharid Dynasty","1736","1796","0","1","0",NULL,"Russia","RUS","Europe","1743","1796","0"
"Afsharid Dynasty","1736","1796","0","1","0",NULL,"Tajikistan","TJK","Asia","1736","1796","0"
"Afsharid Dynasty","1736","1796","0","1","0",NULL,"Turkmenistan","TKM","Asia","1741","1796","0"
"Afsharid Dynasty","1736","1796","0","1","0",NULL,"Turkey","TUR","Asia","1741","1796","0"
"Afsharid Dynasty","1736","1796","0","1","0",NULL,"Uzbekistan","UZB","Asia","1740","1796","0"
"Afsharid Dynasty","1736","1796","0","1","0",NULL,"Bahrain","BHR","Asia","1736","1796","0"
"Afsharid Dynasty","1736","1796","0","1","0",NULL,"India","IND","Asia","1738","1796","0"
"Akkadian Empire","-2350","-2150","0","1","0","1","Iran","IRN","Asia","-2248","-2150","0"
"Akkadian Empire","-2350","-2150","0","1","0","1","Iraq","IRQ","Asia","-2350","-2150","1"
"Akkadian Empire","-2350","-2150","0","1","0","1","Jordan","JOR","Asia","-2248","-2150","0"
"Akkadian Empire","-2350","-2150","0","1","0","1","Kuwait","KWT","Asia","-2271","-2150","0"
"Akkadian Empire","-2350","-2150","0","1","0","1","Syria","SYR","Asia","-2248","-2150","0"
"Akkadian Empire","-2350","-2150","0","1","0","1","Turkey","TUR","Asia","-2248","-2150","0"
"Akkadian Empire","-2350","-2150","0","1","0","1","Saudi Arabia","SAU","Asia","-2271","-2150","0"
"Aksumite Empire","100","960","0","1","0",NULL,"Djibouti","DJI","Africa","100","960","0"
"Aksumite Empire","100","960","0","1","0",NULL,"Eritrea","ERI","Africa","100","960","0"
"Aksumite Empire","100","960","0","1","0",NULL,"Ethiopia","ETH","Africa","100","960","1"
"Aksumite Empire","100","960","0","1","0",NULL,"Sudan","SDN","Africa","100","960","0"
"Aksumite Empire","100","960","0","1","0",NULL,"Somalia","SOM","Africa","230","960","0"
"Aksumite Empire","100","960","0","1","0",NULL,"Yemen","YEM","Asia","100","480","0"
"Almohad Dynasty","1130","1269","0","1","0",NULL,"Libya","LBY","Africa","1152","1269","0"
"Almohad Dynasty","1130","1269","0","1","0",NULL,"Algeria","DZA","Africa","1130","1269","0"
"Almohad Dynasty","1130","1269","0","1","0",NULL,"Western Sahara","ESH","Africa","1152","1269","0"
"Almohad Dynasty","1130","1269","0","1","0",NULL,"Spain","ESP","Europe","1145","1269","0"
"Almohad Dynasty","1130","1269","0","1","0",NULL,"Gibraltar","GIB","Europe","1145","1269","0"
"Almohad Dynasty","1130","1269","0","1","0",NULL,"Morocco","MAR","Africa","1130","1269","1"
"Almohad Dynasty","1130","1269","0","1","0",NULL,"Portugal","PRT","Europe","1148","1269","0"
"Almohad Dynasty","1130","1269","0","1","0",NULL,"Tunisia","TUN","Africa","1152","1269","0"
"Almoravid Dynasty","1040","1147","0","1","0",NULL,"Algeria","DZA","Africa","1040","1147","0"
"Almoravid Dynasty","1040","1147","0","1","0",NULL,"Western Sahara","ESH","Africa","1040","1147","0"
"Almoravid Dynasty","1040","1147","0","1","0",NULL,"Spain","ESP","Europe","1056","1147","0"
"Almoravid Dynasty","1040","1147","0","1","0",NULL,"Gibraltar","GIB","Europe","1040","1147","0"
"Almoravid Dynasty","1040","1147","0","1","0",NULL,"Morocco","MAR","Africa","1056","1147","1"
"Almoravid Dynasty","1040","1147","0","1","0",NULL,"Portugal","PRT","Europe","1040","1147","0"
"Almoravid Dynasty","1040","1147","0","1","0",NULL,"Mauritania","MRT","Africa","1040","1147","0"
